entry,name,substrates,products
R00062,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase,C03374,C00486; C05787
R00070,D-urobilinogen:oxygen oxidoreductase,C05791; C00007,C05795; C00001
R00091,CoA:NAD+ oxidoreductase,C00003; C00010,C02015; C00004; C00080
R00165,Protein <=> L-Alanyl-tRNA,C00017,C00886
R00166,Protein <=> L-Leucyl-tRNA,C00017,C02047
R00167,L-Arginyl-tRNA(Arg) <=> Protein-L-arginine,C02163,C00613
R00168,Protein <=> L-Valyl-tRNA(Val),C00017,C02554
R00169,Protein <=> L-Glutamyl-tRNA(Glu),C00017,C02987
R00170,Protein <=> L-Isoleucyl-tRNA(Ile),C00017,C03127
R00172,Protein <=> Selenomethionyl-tRNA(Met),C00017,C05336
R00263,L-Glutamate <=> Poly-gamma-D-glutamate,C00025,C05723
R00270,2-Oxoglutarate + Ammonia <=> 4-Oxoglutaramate + H2O,C00026; C00014,C05572; C00001
R00312,Heme <=> Cytochrome a,C00032,C05783
R00313,Heme <=> Catalase,C00032,C05784
R00314,Heme <=> Peroxidase,C00032,C05785
R00408,succinate:FAD oxidoreductase,C00042; C00016,C01352; C00122
R00422,UDP-N-acetyl-alpha-D-glucosamine <=> Glycolipid,C00043,C05005
R00423,UDP-N-acetyl-alpha-D-glucosamine <=> Mucopolysaccharide,C00043,C05114
R00459,L-Lysine <=> L-Pipecolate,C00047,C00408
R00596,S-adenosyl-L-methionine:tRNA adenine N1-methyltransferase;,C00019; C17324,C00021; C04156
R00598,S-Adenosyl-L-methionine:tRNA guanine N2-methyltransferase;,C00019; C01977,C00021; C04158
R00646,Ascorbate + Oxygen + H2O <=> Threonate + Oxalate,C00072; C00007; C00001,C01620; C00209
R00683,S-Adenosyl-L-methionine:L-tryptophan N-methyltransferase,C00019; C00078,C00021; C02983
R00744,3-oxopropionyl-CoA:NAD+ oxidoreductase,C00083; C00005; C00080,C05989; C00006; C00001
R00793,Hydroxylamine:oxygen oxidoreductase,C00088; C00001,C00192; C00007
R00800,nitrite oxidase,C00088; C00007,C00244
R00864,Sulfite + Sulfur <=> Thiosulfate,C00094; C00087,C00320
R00915,beta-Alanine <=> Quinolinate,C00099,C03722
R00916,beta-Alanine <=> beta-Nitropropanoate,C00099,C05669
R00917,beta-aminopropionitrile aminohydrolase,C00099; C00014,C05670; C00001
R00991,Anthranilate <=> 2-Formaminobenzoylacetate,C00108,C05835
R01032,3-chloro-L-alanine chloride-lyase (deaminating; pyruvate-forming),C00698; C00022; C00014,C02635; C00001
R01119,CMP-N-acetylneuraminate <=> Colominic acid(non-reducing N- or O-acylneuraminyl residue),C00128,C04799
R01120,CMP-N-acetylneuraminate <=> Glycolipid,C00128,C05005
R01147,Pyridoxamine-5'-phosphate:2-oxoglutarate aminotransferase,C00647; C00022,C00018; C00133
R01282,Palmitoyl-CoA + Acceptor <=> trans-Hexadec-2-enoyl-CoA + Reduced acceptor,C00154; C00028,C05272; C00030
R01308,4-Hydroxybenzoate + Acetate + NADH + H+ <=> 4-Coumarate + 2 H2O + NAD+,C00156; C00033; C00004; C00080,C00811; C00001; C00003
R01339,L-glutamate:2-oxo acid aminotransferase,C00161; C00025,C05167; C00026
R01386,UDP-D-glucuronate carboxy-lyase (UDP-D-apiose-forming),C00167,C01623; C00011
R01390,Hydroxypyruvate + CO2 <=> Dihydroxyfumarate,C00168; C00011,C00975
R01400,Carbamoyl phosphate <=> Cyclic amidine,C00169,C06059
R01410,Hydrogen cyanide + Acetaldehyde + Ammonia <=> alpha-Aminopropiononitrile + H2O,C01326; C00084; C00014,C05714; C00001
R01426,Benzoate + Acetate + NADH + H+ <=> trans-Cinnamate + 2 H2O + NAD+,C00180; C00033; C00004; C00080,C00423; C00001; C00003
R01427,Benzoate <=> 3-Hydroxybenzoate,C00180,C00587
R01474,UDP-D-xylose <=> Pentosan + UDP,C00190,C06016; C00015
R01537,UDP-N-acetyl-D-galactosamine <=> Glycolipid,C00203,C05005
R01578,D-Glutamate + Peptide <=> D-Glutamyl-peptide,C00217; C00012,C02671
R01637,"3,4-Dihydroxybenzoate <=> Gallate",C00230,C01424
R01650,Succinate semialdehyde + Hydrogen cyanide + Ammonia <=> gamma-Amino-gamma-cyanobutanoate + H2O,C00232; C01326; C00014,C05715; C00001
R01723,Nicotinate + Glycine + ATP <=> Nicotinurate + AMP + Diphosphate,C00253; C00037; C00002,C05380; C00020; C00013
R01725,Nicotinate <=> 2-Methyleneglutarate,C00253,C02930
R01734,Dimethylbenzimidazole <=> Riboflavin,C03114,C00255
R01798,Arachidonyl-CoA:CDPacylglycerol O-arachidonyltransferase,C02249; C02255,C00010; C00269
R01854,RCH2NH2:acceptor oxidoreductase (deaminating);,C00375; C00001; C00028,C00071; C00014; C00030
R01913,Pyridoxine <=> 1-Deoxy-D-xylulose + 4-Hydroxy-L-threonine,C00314,C06257; C06056
R01952,Palmitoyl-CoA:glycoprotein N-palmitoyltransferase,C00154; C00326,C00010; C03412
R01981,D-Galacturonate + NAD+ + H2O <=> D-Galactarate + NADH + H+,C00333; C00003; C00001,C00879; C00004; C00080
R01984,D-Galacturonate <=> D-Galacturonolactone + H2O,C00333,C06430; C00001
R02008,(6E)-8-Oxogeranial <=> Iridodial,C17622,C06069
R02026,O-acetyl-L-homoserine acetate-lyase (L-homocysteine forming),C01077; C00320; C00342; C00080,C00155; C00094; C00343; C00033
R02116,"Sterol <=> (S)-2,3-Epoxysqualene",C00370,C01054
R02126,all-trans-Retinal 11-cis-trans-isomerase,C00376,C02110
R02127,Retinal <=> Metarhodopsin,C00376,C05916
R02128,Retinal <=> Iodopsin + hn,C00376,C05917; C00205
